Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
43000,2.1033328,57.46666666666667,1.2376778,3.6629275381565094,3.6629275381565094,1.0
44000,2.0787122,108.0,1.2514043,11.34891743659973,11.34891743659973,1.0
45000,2.0968204,100.3,1.2293646,11.069650491078695,11.069650491078695,1.0
46000,2.0875838,165.66666666666666,1.3267406,12.795763432979584,12.795763432979584,1.0
47000,2.1044767,72.61538461538461,1.1970661,6.9160459126744955,6.9160459126744955,1.0
48000,2.0899286,108.0,1.311828,7.7633874548806086,7.7633874548806086,1.0
49000,2.1019535,109.33333333333333,1.1830235,12.351929797066582,12.351929797066582,1.0
50000,2.0942175,160.66666666666666,1.2386818,17.926331480344135,17.926331480344135,1.0
51000,2.0845864,73.41666666666667,1.1319573,8.65558555492988,8.65558555492988,1.0
52000,2.066269,134.5,1.364244,14.345101989805698,14.345101989805698,1.0
53000,2.0575824,172.83333333333334,1.4376785,28.894330406188963,28.894330406188963,1.0
54000,2.0282533,134.28571428571428,1.298868,17.72694293409586,17.72694293409586,1.0
55000,2.0722172,86.81818181818181,1.422769,10.745303235270761,10.745303235270761,1.0
56000,2.0646782,106.0,1.0475903,12.396391385131412,12.396391385131412,1.0
57000,2.042522,58.4,1.231579,7.213144811716947,7.213144811716947,1.0
58000,2.062173,119.9090909090909,1.3163061,15.887123172933405,15.887123172933405,1.0
59000,2.0374093,134.0,1.671922,22.23995038441249,22.23995038441249,1.0
60000,2.0700967,109.66666666666667,1.4595509,9.708781321843466,9.708781321843466,1.0
61000,2.0680873,60.42857142857143,1.2204484,7.949282065033913,7.949282065033913,1.0
62000,2.023237,223.85714285714286,1.53794,37.1225440899531,37.1225440899531,1.0
63000,1.984629,126.0,1.682975,21.230986304581165,21.230986304581165,1.0
64000,1.9916868,79.33333333333333,1.861345,12.018298968672752,12.018298968672752,1.0
65000,2.0077555,89.42857142857143,1.7767533,12.574489671736956,12.574489671736956,1.0
66000,1.9970227,159.375,1.7331051,27.398448687046766,27.398448687046766,1.0
67000,2.006303,99.0,1.7362413,16.80739768743515,16.80739768743515,1.0
68000,2.0150285,122.75,1.7271746,14.480186522006989,14.480186522006989,1.0
69000,1.9863545,156.33333333333334,1.8704867,30.946040766579763,30.946040766579763,1.0
70000,1.9763725,151.85714285714286,1.8553374,26.38437271118164,26.38437271118164,1.0
71000,2.015318,78.66666666666667,1.7603253,13.228230568078848,13.228230568078848,1.0
